Name,Class,Section,Gender,Mobile,Email,Message,Date
Harry Potter,10,C,Male,9876543210,harry@hogwarts.com,DAV seems magical and the science labs look amazing,2026-04-18
Hermione Granger,11,A,Female,9123456780,hermione@hogwarts.com,I want admission because DAV has strong academics and discipline,2026-04-19
Ron Weasley,9,D,Male,9988776655,ron@hogwarts.com,my brothers said the canteen food here is legendary,2026-04-20
Draco Malfoy,12,F,Male,9011223344,draco@malfoy.com,I heard DAV students are top rankers everywhere,2026-04-20
Shah Rukh Khan,7,E,Male,9345678123,srk@bollywood.com,DAV has the perfect balance of studies and activities,2026-04-21
Priya Sharma,3,B,Female,9812345678,priya.sharma@gmail.com,I want to join DAV because teachers are very supportive,2026-04-22
Virat Kohli,12,C,Male,9898989898,virat@cricket.com,DAV motivates students to perform their best in sports too,2026-04-23
Cristiano Ronaldo,9,A,Male,9321456780,cr7@football.com,I want admission because DAV students never give up suiiiiii,2026-04-24
Lionel Messi,10,E,Male,9456123789,messi@football.com,the school environment looks calm and friendly,2026-04-24
Doraemon,2,F,Male,9112233445,doraemon@future.com,I want to study in DAV because the classrooms look futuristic,2026-04-25
Nobita Nobi,4,C,Male,9334455667,nobita@anime.com,my mom said DAV can fix my grades somehow,2026-04-25
Saitama,12,A,Male,9223344556,saitama@hero.com,I heard DAV exams are actually challenging,2026-04-26
Luffy Monkey D,8,E,Male,9778899001,luffy@pirates.com,I want admission because everyone here seems adventurous and fun,2026-04-27
Pikachu,1,A,Female,9665544332,pika@pokemon.com,pika pika DAV looks electrifying,2026-04-28
Tony Stark,11,D,Male,9554433221,ironman@stark.com,the robotics opportunities in DAV look impressive,2026-04-28
Bruce Wayne,12,C,Male,9443322110,batman@gotham.com,DAV appears to build leadership and confidence,2026-04-29
Deadpool,4,B,Male,9332211009,deadpool@marvel.com,because normal schools cannot handle my energy level,2026-04-29
Raju Rastogi,10,D,Male,9221100998,raju@3idiots.com,I want admission because DAV students get great career guidance,2026-04-30
Chatur Ramalingam,11,E,Male,9110099887,chatur@silencer.com,I heard DAV values discipline and academic excellence,2026-04-30
Bhuvan Bam,8,A,Male,9009988776,bhuvan@bbki.com,the school events and extracurriculars look really fun,2026-05-01
CarryMinati,9,F,Male,9891234567,carry@roast.com,I want admission because DAV students have personality too not just marks,2026-05-01
Alia Bhatt,4,C,Female,9782345612,alia@bolly.com,my cousins recommended DAV for quality education,2026-05-02
Elon Musk,12,E,Male,9673456123,elon@tesla.com,I want to join DAV to experiment with new ideas and innovation,2026-05-02
Motu Patlu,1,D,Male,9564567234,motu@furfuri.com,DAV seems like a place where learning is enjoyable,2026-05-03
Mamata Banerjee,9,B,Female,9234567812,mamata@kol.com,I lost elections I need to rejoin schools,2026-05-03
Adolf Hitler,12,B,Male,9345612780,adolf@history.com,I want admission because DAV is known for strict discipline and organization,2026-05-04
gittest,1,A,Female,0000000000,gittest@ignore,ignore this,2026-05-14
